Vestigingsplaatsen  gewoon secundair onderwijs
schoolnummer;intern_vplnummer;vestigingsnummer;net;naam;hoofdzetel;straat;huisnummer;postcode;gemeente;crab-code;crab-huisnr;crab-busnr;telefoon;fax;e-mail;url;familienaam beheerder;voornaam beheerder;e-mail;url;Lx;Ly
32284;1;1;Officieel gesubsidieerd onderwijs;Instituut Anneessens - Funck;J;Groot Eiland;39   ;1000;BRUSSEL;000000019854;39;     ;02-510.07.50;02-510.07.98;valerie.vandamme@brunette.brucity.be;http://www.anneessens-funck.be;Van Damme;Valerie;valerie.vandamme@brunette.brucity.be;http://www.anneessens-funck.be;148404;170631
31963;6;3;Gemeenschapsonderwijs;GO! atheneum Anderlecht;N;Moutstraat;24   ;1000;BRUSSEL;000000020244;24;     ;02-511.07.42;;;;VAN DEN BERGHE;Erik;ka.anderlecht@g-o.be;http://www.kaa.vgc.be;148311;171089
32144;1;1;Vrij gesubsidieerd onderwijs;Sint-Jan Berchmanscollege;J;Ursulinenstraat;4    ;1000;BRUSSEL;000000020620;4;     ;02-512.03.70;02-512.64.75;evandevelde@sint-jan-brussel.be;http://www.sint-jan-brussel.be;Van de Velde;Eddy;evandevelde@sint-jan-brussel.be;http://www.sint-jan-brussel.be;148600;170152
41954;2;2;Gemeenschapsonderwijs;GO! atheneum Sint-Pieters-Woluwe;N;Moutstraat;24   ;1000;BRUSSEL;000000020244;24;     ;02-511.07.42;;;;Van Driessche;Helena;helena.van.driessche@atheneumwoluwe.be;http://www.atheneumwoluwe.be;148311;171089
32151;1;1;Vrij gesubsidieerd onderwijs;Maria-Boodschaplyceum;J;Moutstraat;22   ;1000;BRUSSEL;000000020244;22;     ;02-506.89.20;02-513.84.80;info@mabobrussel.be;http://www.mabobrussel.be;STIE;Annick;info@mabobrussel.be;http://www.mabobrussel.be;148322;171076
33258;3;1;Vrij gesubsidieerd onderwijs;Imelda-Instituut;J;Moutstraat;19   ;1000;BRUSSEL;000000020244;19;     ;02-511.06.53;;info@imelda-instituut.be;http://www.imelda-instituut.be;De Prins;Kurt;info@imelda-instituut.be;http://www.imelda-instituut.be;148327;171111
32284;2;2;Officieel gesubsidieerd onderwijs;Instituut Anneessens - Funck;N;Fonteinstraat;2    ;1000;BRUSSEL;000000019795;2;     ;02-279.58.62;02-279.58.73;;;Van Damme;Valerie;valerie.vandamme@brunette.brucity.be;http://www.anneessens-funck.be;148130;170037
41632;4;4;Gemeenschapsonderwijs;GO! atheneum Unescoschool Koekelberg;N;Moutstraat;24   ;1000;BRUSSEL;000000020244;24;     ;;;;;Buggenhout;Pieter;serge.algoet@kakoekelberg.be;http://www.kakoekelberg.be;148311;171089
49023;1;1;Gemeenschapsonderwijs;GO] Kunsthumaniora Brussel;J;Chrysantenstraat;26   ;1020;LAKEN;000000019645;26;     ;02-502.05.04;;info@kunsthumaniorabrussel.be;http://www.kunsthumaniorabrussel.be;Algoet;Serge;info@kunsthumaniorabrussel.be;http://www.kunsthumaniorabrussel.be;148662;174612
41368;1;1;Gemeenschapsonderwijs;GO! lyceum Brussel Martha Somers;J;Karel Bogaerdstraat;4    ;1020;LAKEN;000000020000;4;     ;02-474.06.00;;directie@lyceummarthasomers.be;http://www.lyceummarthasomers.be;Elias;Katty;directie@lyceummarthasomers.be;http://www.lyceummarthasomers.be;148573;174551
